,Population
Orkney Islands,21
Shetland Islands,23
Western Isles,28
Clackmannanshire,51
Inverclyde,81
Midlothian,83
Argyll & Bute,88
Stirling,90
East Renfrewshire,91
West Dunbartonshire,91
Moray,93
East Lothian,100
East Dunbartonshire,105
South Ayrshire,113
Scottish Borders,114
Angus,116
East Ayrshire,123
North Ayrshire,138
Dundee City,147
Perth & Kinross,147
Dumfries & Galloway,151
Falkirk,156
Renfrewshire,175
West Lothian,175
Aberdeen City,223
Highland,232
Aberdeenshire,253
South Lanarkshire,314
North Lanarkshire,338
Fife,365
"Edinburgh, City of",477
Glasgow City,593
-META-,
BARS,TRUE
YAXISTITLE,Thousands of people
BOTTOMPADDING,70
