,Number of households,Population living in households
Aberdeen City,6.6%,3.7%
Aberdeenshire,15.4%,11.8%
Angus,9.9%,7.5%
Argyll & Bute,3.0%,-2.0%
Clackmannanshire,10.6%,7.0%
Dumfries & Galloway,6.5%,2.5%
Dundee City,3.4%,-0.3%
East Ayrshire,7.1%,2.3%
East Dunbartonshire,3.0%,-2.4%
East Lothian,12.4%,10.0%
East Renfrewshire,6.5%,1.5%
"Edinburgh, City of",9.0%,5.6%
Falkirk,9.8%,7.5%
Fife,7.1%,4.2%
Glasgow City,5.2%,2.2%
Highland,14.0%,11.2%
Inverclyde,2.0%,-3.4%
Midlothian,6.2%,2.8%
Moray,11.9%,7.5%
Western isles,11.5%,4.4%
North Ayrshire,6.4%,1.6%
North Lanarkshire,10.1%,5.4%
Orkney Islands,16.6%,11.1%
Perth & Kinross,11.1%,8.6%
Renfrewshire,7.4%,1.2%
Scottish Borders,10.8%,6.8%
Shetland Islands,9.2%,6.0%
South Ayrshire,5.2%,0.7%
South Lanarkshire,10.0%,3.9%
Stirling,5.8%,2.5%
West Dunbartonshire,3.4%,-2.8%
West Lothian,13.1%,10.0%
,,
Scotland,8.2%,4.4%
-META-,,
YAXISTITLE,% change 2001 to 2011,
BARS,TRUE,
BOTTOMPADDING,70,
YMIN,-5,
