,2003Q2 to 2017Q2,2007Q2 to 2017Q2
Aberdeen City,107%,-2%
Aberdeenshire,83%,-4%
Angus,61%,-8%
Argyll and Bute,51%,-18%
Clackmannanshire,64%,-18%
Dumfries and Galloway,43%,-19%
Dundee City,68%,-15%
East Ayrshire,31%,-30%
East Dunbartonshire,53%,-1%
East Lothian,37%,-17%
East Renfrewshire,49%,6%
"Edinburgh, City of",33%,-5%
Falkirk,36%,-17%
Fife,38%,-7%
Glasgow City,23%,-19%
Highland,68%,-9%
Inverclyde,35%,-13%
Midlothian,54%,-8%
Moray,78%,-8%
Western isles,21%,-27%
North Ayrshire,29%,-25%
North Lanarkshire,46%,-9%
Orkney Islands,98%,15%
Perth and Kinross,56%,-5%
Renfrewshire,46%,-9%
Scottish Borders,61%,-16%
Shetland Islands,112%,40%
South Ayrshire,31%,-22%
South Lanarkshire,43%,-13%
Stirling,37%,-11%
West Dunbartonshire,17%,-25%
West Lothian,33%,-17%
,0%,0%
TOTAL,49%,-8%
-META-,,
YAXISTITLE,% change,
BARS,TRUE,
BOTTOMPADDING,70,
YMIN,-50,
