,Natural change (births - deaths),Net migration
1956,33.7,-27.2
1957,36.9,-33.1
1958,34.6,-25.4
1959,36.4,-20.3
1960,39.7,-28.5
1961,37.6,-34.6
1962,39.1,-29
1963,38.2,-33.9
1964,42.3,-39.1
1965,40.6,-39.1
1966,33.2,-43.2
1967,38.1,-43.1
1968,31.9,-32
1969,30.3,-23.9
1970,23.3,-20.1
1971,26.1,-21.7
1972,18.8,-28.6
1973,12.4,-11.7
1974,6.8,-3
1975,4.6,-20
1976,2.7,-5.8
1977,-1.1,-10.8
1978,-1,-17.3
1979,1.8,-14.6
1980,4.3,-16.3
1981,6.6,-23.1
1982,1.5,-16.9
1983,1.8,-19.7
1984,1.4,-12
1985,3.7,-15
1986,1.6,-17.6
1987,4.7,-18
1988,4.9,-27.2
1989,3.1,-2.9
1990,-1.4,5
1991,5.8,-1.9
1992,5.9,-1.9
1993,2.4,4.7
1994,0.5,9.4
1995,0.9,2.4
1996,-2.3,-7.2
1997,0.1,-7.5
1998,-0.5,-5.7
1999,-3.7,-2.2
2000,-5.7,-3.6
2001,-3.9,5.2
2002,-6.1,6.3
2003,-6.5,5.6
2004,-4,18.6
2005,-2.3,25.3
2006,-0.3,18.8
2007,1.1,33
2008,3.9,26.4
2009,4.6,24.4
2010,5.2,26.1
2011,4.8,30.2
2012,4.2,12.7
2013,0.9,10
2014,3.5,17.6
2015,-2,28
2016,-0.8,31.7
-META-,,
YAXISTITLE,Thousands of people,
XTICKSEVERY,5,
