,of UK,of GB,of England
1971,9.36%,9.63%,11.28%
1972,9.32%,9.59%,11.23%
1973,9.31%,9.57%,11.21%
1974,9.32%,9.58%,11.23%
1975,9.31%,9.57%,11.21%
1976,9.31%,9.57%,11.22%
1977,9.30%,9.56%,11.21%
1978,9.28%,9.54%,11.18%
1979,9.25%,9.51%,11.14%
1980,9.22%,9.48%,11.10%
1981,9.19%,9.45%,11.06%
1982,9.17%,9.43%,11.04%
1983,9.14%,9.40%,11.00%
1984,9.11%,9.37%,10.95%
1985,9.07%,9.33%,10.90%
1986,9.02%,9.28%,10.83%
1987,8.98%,9.23%,10.78%
1988,8.92%,9.18%,10.71%
1989,8.90%,9.15%,10.68%
1990,8.88%,9.13%,10.65%
1991,8.85%,9.10%,10.62%
1992,8.83%,9.09%,10.60%
1993,8.82%,9.08%,10.59%
1994,8.82%,9.08%,10.58%
1995,8.80%,9.05%,10.55%
1996,8.75%,9.01%,10.50%
1997,8.72%,8.97%,10.45%
1998,8.68%,8.94%,10.40%
1999,8.64%,8.90%,10.34%
2000,8.60%,8.85%,10.28%
2001,8.57%,8.82%,10.24%
2002,8.53%,8.78%,10.20%
2003,8.50%,8.75%,10.15%
2004,8.48%,8.73%,10.13%
2005,8.46%,8.71%,10.10%
2006,8.44%,8.69%,10.07%
2007,8.43%,8.68%,10.06%
2008,8.42%,8.67%,10.04%
2009,8.40%,8.65%,10.02%
2010,8.38%,8.63%,10.00%
2011,8.37%,8.62%,9.98%
2012,8.34%,8.59%,9.93%
2013,8.31%,8.55%,9.89%
2014,8.28%,8.52%,9.85%
2015,8.25%,8.49%,9.81%
2016,8.23%,8.47%,9.78%
-META-,,,
YAXISTITLE,Scotland's population percentage,,
XTICKSEVERY,5,,
