,Daycase,Elective,Emergency
2007-08,391767,201556,516287
2008-09,417575,204893,528581
2009-10,431360,198151,521909
2010-11,434115,184085,526562
2011-12,445567,178035,541422
2012-13,452253,179806,548047
2013-14,451052,184648,564318
2014-15,459600,185241,575489
2015-16,467701,173959,582622
2016-17*,465802,164805,585580
-META-,,,
YAXISTITLE,Number of inpatient stays (CIS),,
BARS,TRUE,,
STACKED,TRUE,,
LEFTPADDING,90,,
BOTTOMPADDING,50,,
XAXISTITLE,*  Provisional numbers,,
#Source,https://www.isdscotland.org/Health-Topics/Hospital-Care/Publications/2017-11-07/Inpatient-Day-Case-Activity-Health-Board-of-Treatment-Nov17.xlsx,,
#Tab,Admission Type Trend CIS measure,,
#Growth,,,
RIGHTPADDING,100,,
STACKEDLEGENDRIGHT,TRUE,,
