,Oil price,UK North Sea revenue
1998-99,12.07,1.858
1999-00,21.75,2.476
2000-01,28.26,4.766
2001-02,23.27,5.367
2002-03,27.56,5.167
2003-04,28.98,4.335
2004-05,42.17,6.095
2005-06,57.93,10.099
2006-07,64.15,7.885
2007-08,82.26,9.124
2008-09,83.72,10.621
2009-10,69.44,6.59
2010-11,86.69,9.135
2011-12,114.65,9.619
2012-13,110.15,6.02
2013-14,107.56,4.499
2014-15,85.46,1.691
2015-16,47.30,-0.08
2016-17,48.54,0.084
-META-,,
YAXISTITLE,Brent crude oil price / $ per barrel,
YAXISTITLE2,UK North Sea revenue (not inflation adjusted),
USEYAXIS2,2,
SYMBOLS,TRUE,
LEGENDY,35,
LEGENDX,2005-06,
YMIN,-10,
YMAX,120,
YMIN2,-1,
YMAX2,12,
