,Household expenditure,Household median income
1998-99,100.0,100.0
1999-00,105.0,103.5
2000-01,107.6,105.9
2001-02,109.5,111.6
2002-03,112.9,113.2
2003-04,115.5,119.5
2004-05,116.1,120.8
2005-06,119.5,120.8
2006-07,123.3,121.6
2007-08,122.8,125.4
2008-09,121.8,127.0
2009-10,117.8,129.2
2010-11,119.8,124.6
2011-12,119.7,124.9
2012-13,122.6,123.2
2013-14,125.1,125.7
2014-15,126.3,129.5
2015-16,130.8,126.5
2016-17,132.1,
-META-,,
YAXISTITLE,Index – 1998-99 = 100 (real terms),
SYMBOLS,TRUE,
YMIN,80,
