,Scotland,Aberdeen City,Shetland Islands,Western isles
2003Q2,94.70,80.03,69.36,65.35
2004Q2,114.85,98.73,78.98,78.32
2005Q2,122.65,109.74,76.17,97.21
2006Q2,138.81,132.50,85.81,88.33
2007Q2,153.88,169.27,104.95,108.33
2008Q2,154.78,172.59,105.52,107.72
2009Q2,145.68,163.17,107.23,90.91
2010Q2,140.96,168.02,117.28,92.47
2011Q2,138.15,167.29,124.12,97.14
2012Q2,131.39,160.83,136.65,101.49
2013Q2,127.92,166.30,112.57,88.01
2014Q2,135.81,176.23,140.99,89.53
2015Q2,140.84,181.08,148.38,90.04
2016Q2,139.92,182.54,156.47,102.81
2017Q2,141.49,165.88,147.02,79.04
-META-,,,,
YAXISTITLE,Median house price – real (CPI 2016 prices) / £ thousands,,,
