,Nuclear,Renewables,Coal *,Gas
2000,16.918,4.971,16.624,8.671
2001,18.097,4.203,15.408,8.523
2002,15.828,5.098,14.861,11.034
2003,18.394,3.725,14.566,10.025
2004,18.013,5.832,13.080,10.835
2005,18.681,6.486,12.158,9.367
2006,14.141,6.963,17.560,10.212
2007,12.344,8.226,13.877,10.931
2008,15.079,9.058,11.683,11.608
2009,16.681,10.582,11.982,9.370
2010,15.293,9.465,14.730,8.388
2011,16.892,13.686,10.793,8.255
2012,17.050,14.685,11.934,5.638
2013,18.498,16.949,10.862,5.440
2014,16.633,18.962,10.310,2.725
2015,17.763,21.627,8.538,1.913
-META-,,,,
BARS,TRUE,,,
STACKED,TRUE,,,
YAXISTITLE,Energy Generation / GWh,,,
XAXISTITLE,*Coal includes a small quantity of non-renewable wastes and other thermal.,,,
LEGENDX,2007,,,
STACKEDLEGENDRIGHT,TRUE,,,
RIGHTPADDING,100,,,
