,Primary,Secondary,Special
1998,436979,313204,8231
1999,431414,315356,8311
2000,425221,317704,8318
2001,420521,316359,8183
2002,413713,316903,7981
2003,406015,318427,7680
2004,398100,318065,7389
2005,390260,315840,7140
2006,382783,312979,6975
2007,375946,309560,6709
2008,370839,303978,6756
2009,367146,302921,6673
2010,365326,301007,6800
2011,366429,297109,6943
2012,370680,293562,6953
2013,377382,289164,6956
2014,385212,284762,6940
2015,391148,281939,6871
2016,396697,280983,6668
2017,400312,281993,6654
-META-,,,
YAXISTITLE,Number of pupils (primary and secondary),,
YAXISTITLE2,Number of pupils (special),,
USEYAXIS2,3,,
YMIN,0,,
YMAX,500000,,
YMIN2,0,,
YMAX2,25000,,
SYMBOLS,TRUE,,
LEGENDY,80000,,
LEFTPADDING,80,,
RIGHTPADDING,30,,
#change,-36667,-31211,-1577
#percent,-8.4%,-10.0%,-19.2%
