,UK crude oil production,Operating & capital expenditure
1998-99,136.7,9.1
1999-00,139.6,7.8
2000-01,123.3,7.8
2001-02,118.7,8.3
2002-03,115.9,8.6
2003-04,103.4,8.0
2004-05,92.4,8.5
2005-06,82.5,10.6
2006-07,75.0,11.6
2007-08,75.4,12.4
2008-09,71.2,13.1
2009-10,67.5,13.2
2010-11,60.8,15.3
2011-12,51.1,18.9
2012-13,43.9,21.9
2013-14,42.3,25.4
2014-15,40.6,23.8
2015-16,48.5,18.8
2016-17,47.5,15.7
-META-,,
YAXISTITLE,Production / million tonnes,
YAXISTITLE2,Expenditure / £ billion (not inflation adjusted),
USEYAXIS2,2,
SYMBOLS,TRUE,
LEGENDY,35,
LEGENDX,2005-06,
