,Services,Manufacturing,Utilities & construction,"Agriculture, forestry, fising, mining & quarrying"
2002,22.2%,26.1%,3.5%,2.3%
2003,23.1%,23.2%,4.1%,1.8%
2004,27.2%,20.7%,4.3%,1.8%
2005,24.3%,19.0%,3.1%,2.0%
2006,25.1%,17.8%,3.3%,1.8%
2007,27.4%,18.6%,3.2%,2.1%
2008,26.5%,19.3%,3.7%,2.3%
2009,26.0%,19.1%,4.4%,3.1%
2010,26.6%,20.3%,4.1%,4.2%
2011,25.6%,20.4%,5.2%,4.3%
2012,26.1%,20.2%,5.3%,4.1%
2013,26.2%,19.6%,5.8%,3.8%
2014,26.4%,17.7%,4.5%,4.1%
2015,26.5%,18.2%,5.2%,4.2%
-META-,,,,
YAXISTITLE,Exports as % of Scotland’s onshore GDP,,,
SYMBOLS,TRUE,,,
LEGENDY,12.5,,,
LEGENDX,2002,,,
