,Scotland,East Renfrewshire,"Edinburgh, City of",Glasgow City
2003Q2,94.70,146.72,150.72,102.03
2004Q2,114.85,170.80,181.85,124.39
2005Q2,122.65,167.83,183.33,132.98
2006Q2,138.81,189.28,196.37,140.07
2007Q2,153.88,205.59,210.77,153.88
2008Q2,154.78,225.56,214.26,147.00
2009Q2,145.68,180.65,186.48,130.54
2010Q2,140.96,184.00,191.70,126.86
2011Q2,138.15,204.53,183.48,118.72
2012Q2,131.39,174.07,184.04,112.47
2013Q2,127.92,194.44,173.97,103.87
2014Q2,135.81,198.66,178.06,110.66
2015Q2,140.84,200.19,193.26,118.36
2016Q2,139.92,208.62,190.57,117.70
2017Q2,141.49,218.09,200.81,125.39
-META-,,,,
YAXISTITLE,Median house price – real (CPI 2016 prices) / £ thousands,,,
