,Births,Deaths
1855,93.349,62.004
1856,101.821,58.529
1857,103.415,61.906
1858,104.018,63.539
1859,106.543,61.714
1860,105.629,68.17
1861,107.009,62.341
1862,107.069,67.195
1863,109.341,71.481
1864,112.333,74.416
1865,113.07,70.891
1866,113.667,71.348
1867,114.044,69.068
1868,115.514,69.416
1869,113.354,75.875
1870,115.39,74.165
1871,116.128,74.712
1872,118.765,75.794
1873,119.7,76.946
1874,123.711,80.72
1875,123.578,81.767
1876,126.534,74.129
1877,126.822,73.937
1878,126.773,76.793
1879,125.73,73.347
1880,124.57,75.803
1881,126.171,72.325
1882,126.158,72.989
1883,124.458,76.891
1884,129.157,75.168
1885,126.1,74.607
1886,127.89,73.64
1887,124.418,74.546
1888,123.269,71.174
1889,122.783,73.238
1890,121.526,79.004
1891,125.986,83.573
1892,125.043,75.545
1893,127.11,79.67
1894,124.367,71.113
1895,126.494,81.852
1896,129.172,70.677
1897,128.877,79.144
1898,130.861,78.397
1899,130.733,79.593
1900,131.401,82.296
1901,132.192,80.107
1902,132.267,77.941
1903,133.525,76.002
1904,132.603,77.981
1905,131.41,74.536
1906,132.005,75.635
1907,128.84,77.296
1908,131.362,77.838
1909,128.669,74.632
1910,124.059,72.268
1911,121.85,71.732
1912,122.79,72.34
1913,120.516,73.069
1914,123.934,73.557
1915,114.181,81.631
1916,109.942,70.64
1917,97.441,69.483
1918,98.554,78.372
1919,106.268,75.149
1920,136.546,68.179
1921,123.201,66.21
1922,115.085,72.905
1923,111.902,63.283
1924,106.9,70.357
1925,104.137,65.507
1926,102.449,63.78
1927,96.672,65.83
1928,96.822,65.271
1929,92.88,70.917
1930,94.549,64.285
1931,92.22,64.229
1932,91,66.045
1933,86.546,64.848
1934,88.836,63.741
1935,87.928,65.331
1936,88.928,66.749
1937,87.81,68.942
1938,88.627,62.953
1939,86.913,64.413
1940,86.392,72.775
1941,89.748,72.558
1942,90.703,64.963
1943,94.669,66.733
1944,95.92,64.603
1945,86.924,62.655
1946,104.413,64.605
1947,113.147,66.2
1948,100.344,60.979
1949,95.674,63.488
1950,92.53,63.996
1951,90.639,65.778
1952,90.422,61.51
1953,90.913,58.878
1954,92.315,61.38
1955,92.539,61.645
1956,95.313,61.792
1957,97.977,61.143
1958,99.481,62.065
1959,99.251,63.061
1960,101.292,61.764
1961,101.169,63.928
1962,104.334,63.189
1963,102.691,65.521
1964,104.355,61.039
1965,100.66,62.868
1966,96.536,63.689
1967,96.221,59.523
1968,94.786,63.311
1969,90.29,63.821
1970,87.335,63.64
1971,86.728,61.614
1972,78.55,65.017
1973,74.392,64.545
1974,70.093,64.74
1975,67.943,63.125
1976,64.895,65.253
1977,62.342,62.294
1978,64.295,65.123
1979,68.366,65.747
1980,68.892,63.299
1981,69.054,63.828
1982,66.196,65.022
1983,65.078,63.454
1984,65.106,62.345
1985,66.676,63.967
1986,65.812,63.467
1987,66.241,62.014
1988,66.212,61.957
1989,63.48,65.017
1990,65.973,61.527
1991,67.024,61.041
1992,65.789,60.937
1993,63.337,64.049
1994,61.656,59.328
1995,60.051,60.5
1996,59.296,60.654
1997,59.44,59.494
1998,57.319,59.164
1999,55.147,60.281
2000,53.076,57.799
2001,52.527,57.382
2002,51.27,58.103
2003,52.432,58.472
2004,53.957,56.187
2005,54.386,55.747
2006,55.69,55.093
2007,57.781,55.986
2008,60.041,55.7
2009,59.046,53.856
2010,58.791,53.967
2011,58.59,53.661
2012,58.027,54.937
2013,56.014,54.7
2014,56.725,54.239
2015,55.098,57.579
2016,54.488,56.728
-META-,,
YAXISTITLE,Thousands of people,
XTICKSEVERY,10,
