,Bus passengers,Road vehicle.km,Scotrail passengers,Ferry passengers,Road casualties
2005,100.00,100.00,100.00,100.00,100.00
2006,102.26,103.28,103.10,101.50,96.56
2007,104.71,104.56,107.26,102.26,90.80
2008,103.92,104.10,110.08,96.08,87.18
2009,98.43,103.51,110.80,99.33,84.11
2010,92.46,101.80,112.76,96.27,74.58
2011,93.64,101.57,116.81,93.34,71.49
2012,90.48,101.95,119.90,94.72,71.08
2013,90.67,102.63,124.36,94.03,64.31
2014,89.31,104.97,133.49,94.68,63.22
2015,87.91,106.22,134.25,93.86,61.33
-META-,,,,,
YAXISTITLE,Index (2005 = 100),,,,
SYMBOLS,TRUE,,,,
LEGENDX,2005,,,,
