,Decile 3,Median,Decile 7
1994-95,12688,17576,23296
1995-96,12740,17576,23504
1996-97,13052,18252,24076
1997-98,13728,19032,25220
1998-99,14092,19240,25948
1999-00,14352,19916,26468
2000-01,14872,20384,26676
2001-02,16016,21476,28132
2002-03,16172,21788,28600
2003-04,17420,22984,29640
2004-05,17472,23244,30316
2005-06,17576,23244,30316
2006-07,17732,23400,30888
2007-08,18148,24128,31616
2008-09,18356,24440,32292
2009-10,18668,24856,32604
2010-11,18668,23972,31252
2011-12,18356,24024,31096
2012-13,17940,23712,30680
2013-14,18408,24180,31512
2014-15,18876,24908,32292
2015-16,18668,24336,33020
-META-,,,
YAXISTITLE,"Real income after tax & benefits, before housing costs 2015-16 prices",,
SYMBOLS,TRUE,,
LEFTPADDING,50,,
