,All,Children,Working age,Pensioners
1994-95,2.00,2.00,1.00,3.00
1995-96,3.00,5.00,4.00,2.00
1996-97,3.00,2.00,3.00,3.00
1997-98,2.00,1.00,2.00,4.00
1998-99,3.00,3.00,4.00,1.00
1999-00,3.00,4.00,3.00,1.00
2000-01,4.00,5.00,4.00,1.00
2001-02,3.00,4.00,3.00,3.00
2002-03,2.00,3.00,2.00,2.00
2003-04,2.00,3.00,2.00,-2.00
2004-05,2.00,4.00,3.00,-4.00
2005-06,2.00,3.00,4.00,-3.00
2006-07,2.00,4.00,4.00,-4.00
2007-08,2.00,5.00,3.00,-6.00
2008-09,2.00,4.00,3.00,-5.00
2009-10,2.00,5.00,3.00,-4.00
2010-11,2.00,4.00,4.00,-4.00
2011-12,3.00,4.00,4.00,-2.00
2012-13,3.00,3.00,6.00,-4.00
2013-14,4.00,8.00,6.00,-3.00
2014-15,3.00,5.00,4.00,-3.00
2015-16,3.00,7.00,4.00,-3.00
-META-,,,,
YAXISTITLE,After minus before housing costs poverty rate / percentage points,,,
SYMBOLS,TRUE,,,
LEGENDX,1995-96,,,
