,Primary,Secondary,Special
1998,22494,24086,1875
1999,22643,24446,1967
2000,22429,24525,1974
2001,22289,24552,2029
2002,22980,25040,2028
2003,22363,24881,2028
2004,22675,25071,1993
2005,22991,25735,2031
2006,23625,26186,2075
2007,23829,26573,2044
2008,23615,26067,2083
2009,23243,25371,1985
2010,23095,24776,1913
2011,22813,24241,1973
2012,22685,23980,2026
2013,22905,23695,2020
2014,22960,23401,1974
2015,23425,23059,1911
2016,23920,22957,1869
2017,24477,23150,1836
-META-,,,
YAXISTITLE,Number of teachers (primary and secondary),,
YAXISTITLE2,Number of teachers (special),,
USEYAXIS2,3,,
YMIN,0,,
YMAX,30000,,
YMIN2,0,,
YMAX2,3000,,
SYMBOLS,TRUE,,
LEGENDY,4000,,
LEFTPADDING,60,,
RIGHTPADDING,20,,
#change,1982.81,-935.509999999998,-38.6999999999998
#percent,8.8%,-3.9%,-2.1%
