,Social protection,Health,Education and training
1998-99,15.1,6.7,5.8
1999-00,15.9,7.1,6.2
2000-01,16.1,7.4,6.5
2001-02,17.7,7.8,7.1
2002-03,18.1,8.9,7.1
2003-04,19.0,9.6,7.4
2004-05,19.5,9.8,7.8
2005-06,19.6,10.6,8.1
2006-07,19.3,10.9,8.5
2007-08,20.2,11.3,8.6
2008-09,21.0,11.5,8.6
2009-10,22.4,11.9,8.7
2010-11,23.1,12.0,8.5
2011-12,23.5,12.0,8.2
2012-13,23.8,12.0,8.0
2013-14,23.3,12.0,7.9
2014-15,23.5,12.0,7.8
2015-16,23.9,12.5,8.0
2016-17,23.8,12.7,8.2
-META-,,,
YAXISTITLE,Total managed expenditure / £ billion (real 2016-17 prices),,
SYMBOLS,TRUE,,
LEGENDY,4,,
