,"Computer, electronic & optical","Food, beverages & tobacco",Financial services,"Professional, scientific & technical services"
2002,7.3%,5.9%,5.8%,3.1%
2003,5.6%,5.6%,6.6%,2.5%
2004,4.1%,5.2%,8.9%,2.5%
2005,2.7%,5.3%,7.2%,2.5%
2006,2.3%,5.0%,8.3%,2.4%
2007,1.9%,5.1%,9.8%,3.0%
2008,1.8%,5.2%,9.2%,3.1%
2009,1.7%,5.5%,8.6%,3.5%
2010,1.6%,6.2%,9.2%,4.2%
2011,1.6%,6.6%,7.8%,4.2%
2012,1.6%,6.7%,6.5%,4.8%
2013,1.6%,6.7%,6.2%,4.9%
2014,1.3%,6.1%,6.0%,5.0%
2015,1.2%,6.1%,6.1%,5.5%
-META-,,,,
YAXISTITLE,Exports as % of Scotland’s onshore GDP,,,
SYMBOLS,TRUE,,,
LEGENDY,1.75,,,
LEGENDX,2002,,,
