,Scotland onshore,Scotland including North Sea,UK
1998,22661,25029,23380
1999,22927,25752,24046
2000,23737,28369,24841
2001,24294,28416,25376
2002,24823,28869,25889
2003,25652,29507,26628
2004,26054,29942,27115
2005,26364,30859,27741
2006,27162,32205,28228
2007,27077,32158,28662
2008,26872,32408,28294
2009,26146,30095,26919
2010,26108,30702,27157
2011,26235,30951,27323
2012,26106,29844,27545
2013,26545,30025,27934
2014,27145,30030,28569
2015,27549,29438,29008
2016,27509,29243,29287
-META-,,,
YAXISTITLE,GDP per person / £ (real 2016 prices),,
SYMBOLS,TRUE,,
LEFTPADDING,50,,
