,Services,Manufacturing,Construction,Everything else
1998,61.38%,15.60%,5.74%,17.28%
1999,62.71%,14.35%,5.76%,17.18%
2000,62.83%,13.47%,6.23%,17.47%
2001,65.19%,12.37%,5.62%,16.82%
2002,65.60%,11.49%,6.18%,16.73%
2003,66.69%,10.60%,6.12%,16.59%
2004,67.37%,10.27%,6.04%,16.31%
2005,66.99%,10.31%,6.31%,16.39%
2006,67.05%,9.93%,6.71%,16.31%
2007,67.07%,9.36%,6.91%,16.66%
2008,66.71%,9.74%,6.43%,17.12%
2009,68.07%,9.89%,5.43%,16.61%
2010,67.05%,9.76%,5.61%,17.58%
2011,66.71%,9.72%,5.59%,17.98%
2012,66.29%,9.53%,5.36%,18.82%
2013,65.65%,9.73%,5.74%,18.87%
2014,66.14%,9.84%,5.68%,18.34%
2015,66.12%,9.30%,6.28%,18.30%
2016,66.66%,8.89%,6.21%,18.24%
-META-,,,,
YAXISTITLE,% of GDP,,,
YAXISTITLE2,% of GDP (services),,,
SYMBOLS,TRUE,,,
LEGENDY,28,,,
USEYAXIS2,1,,,
YMAX,40,,,
YMAX2,80,,,
