,Housing,Transport,Recreation and culture,Restaurants and hotels
1998,15.5,9.1,7.7,6.8
1999,15.8,8.8,8.2,6.3
2000,16.5,9.1,8.5,6.4
2001,16.1,9.2,8.8,6.5
2002,16.5,9.6,9.4,6.6
2003,17.0,9.6,9.8,6.9
2004,17.3,10.1,10.0,7.2
2005,17.1,10.7,10.2,7.4
2006,18.6,11.7,10.7,8.0
2007,18.3,12.4,10.9,7.6
2008,18.9,12.4,10.7,7.5
2009,19.4,11.7,10.2,7.3
2010,20.0,11.8,9.7,7.8
2011,20.4,12.2,9.2,7.8
2012,19.5,12.8,9.1,8.3
2013,19.6,13.9,9.7,9.0
2014,19.2,14.0,9.9,9.0
2015,20.1,14.8,10.1,9.6
2016,20.2,15.0,10.2,9.9
-META-,,,,
YAXISTITLE,Household expenditure / £ billion (real 2016 prices),,,
SYMBOLS,TRUE,,,
