,UK HM Treasury deflator,Scotland deflator,CPI
1998,70.94,67.98,70.71
1999,71.53,67.98,71.60
2000,72.99,69.06,72.19
2001,73.62,70.54,73.09
2002,75.26,71.92,73.98
2003,77.08,73.99,74.98
2004,79.01,77.14,75.97
2005,81.10,80.39,77.56
2006,83.56,82.76,79.34
2007,85.71,85.91,81.23
2008,88.14,88.28,84.11
2009,89.47,90.15,86.00
2010,90.88,89.85,88.78
2011,92.71,92.02,92.75
2012,94.15,93.89,95.43
2013,95.95,96.35,97.82
2014,97.59,98.52,99.30
2015,98.04,97.93,99.30
2016,100.00,100.00,100.00
-META-,,,
YAXISTITLE,Inflation index – 2016=100,,
SYMBOLS,TRUE,,
YMIN,60,,
