End Date,No ,Yes,Don’t know
11-Jan-12,53%,33%,14%
29-Jan-12,50%,37%,13%
14-Jun-12,55%,32%,13%
20-Jun-12,54%,30%,16%
04-Oct-12,53%,28%,19%
15-Oct-12,58%,30%,12%
19-Oct-12,45%,37%,17%
24-Oct-12,55%,29%,14%
04-Jan-13,50%,32%,16%
09-Jan-13,48%,28%,24%
21-Jan-13,47%,34%,19%
01-Feb-13,47%,32%,21%
09-Feb-13,52%,32%,16%
28-Feb-13,52%,33%,15%
22-Mar-13,46%,36%,18%
02-Apr-13,51%,30%,19%
02-May-13,56%,30%,14%
05-May-13,57%,28%,15%
16-May-13,44%,36%,20%
24-Jul-13,46%,37%,17%
16-Aug-13,47%,34%,19%
22-Aug-13,59%,29%,12%
27-Aug-13,47%,25%,28%
28-Aug-13,43%,44%,13%
05-Sep-13,47%,37%,16%
13-Sep-13,49%,32%,19%
15-Sep-13,59%,31%,9%
16-Sep-13,59%,27%,14%
16-Sep-13,52%,32%,15%
02-Oct-13,44%,25%,31%
24-Oct-13,45%,37%,17%
30-Oct-13,43%,25%,32%
20-Nov-13,47%,38%,15%
27-Nov-13,42%,26%,32%
29-Nov-13,56%,27%,17%
02-Dec-13,55%,31%,15%
05-Dec-13,57%,34%,10%
09-Dec-13,52%,33%,15%
10-Dec-13,41%,27%,33%
20-Jan-14,42%,29%,29%
24-Jan-14,44%,37%,19%
27-Jan-14,52%,33%,15%
31-Jan-14,52%,32%,16%
05-Feb-14,52%,34%,14%
06-Feb-14,49%,37%,14%
06-Feb-14,42%,29%,29%
18-Feb-14,47%,38%,16%
21-Feb-14,49%,37%,14%
21-Feb-14,47%,37%,16%
25-Feb-14,57%,32%,11%
28-Feb-14,53%,35%,12%
07-Mar-14,48%,39%,13%
09-Mar-14,42%,28%,30%
14-Mar-14,45%,40%,15%
21-Mar-14,46%,39%,15%
24-Mar-14,52%,37%,11%
02-Apr-14,41%,29%,30%
04-Apr-14,46%,41%,14%
07-Apr-14,47%,37%,16%
09-Apr-14,45%,40%,15%
15-Apr-14,46%,38%,16%
16-Apr-14,42%,39%,19%
28-Apr-14,51%,37%,12%
02-May-14,42%,30%,28%
08-May-14,54%,34%,12%
12-May-14,47%,37%,17%
14-May-14,47%,40%,13%
15-May-14,46%,34%,20%
28-May-14,42%,30%,28%
01-Jun-14,54%,36%,10%
10-Jun-14,44%,39%,17%
11-Jun-14,46%,43%,12%
12-Jun-14,43%,36%,21%
16-Jun-14,53%,36%,11%
23-Jun-14,46%,32%,22%
29-Jun-14,54%,35%,12%
30-Jun-14,51%,38%,12%
08-Jul-14,46%,41%,13%
09-Jul-14,41%,32%,27%
11-Jul-14,45%,34%,21%
22-Jul-14,48%,41%,11%
01-Aug-14,46%,40%,14%
03-Aug-14,54%,40%,7%
07-Aug-14,50%,37%,13%
07-Aug-14,55%,35%,11%
07-Aug-14,45%,32%,23%
13-Aug-14,47%,37%,14%
15-Aug-14,46%,42%,12%
15-Aug-14,51%,38%,11%
28-Aug-14,48%,42%,11%
01-Sep-14,48%,42%,10%
04-Sep-14,48%,44%,8%
04-Sep-14,39%,38%,23%
05-Sep-14,45%,47%,7%
09-Sep-14,48%,42%,10%
11-Sep-14,50%,45%,6%
11-Sep-14,42%,40%,17%
11-Sep-14,49%,45%,6%
12-Sep-14,49%,42%,9%
12-Sep-14,42%,49%,9%
14-Sep-14,47%,46%,7%
15-Sep-14,49%,45%,6%
16-Sep-14,45%,41%,14%
16-Sep-14,48%,44%,8%
16-Sep-14,49%,47%,5%
17-Sep-14,50%,45%,5%
17-Sep-14,48%,43%,9%
17-Sep-14,50%,45%,6%
17-Sep-14,50%,45%,4%
-META-,,,
XSCALETYPE,DATE,,
YAXISTITLE,%,,
LINES,FALSE,,
SYMBOLS,TRUE,,
LEGENDX,01-Apr-12,,
LEGENDY,8.3,,
#HORIZLINES,46.7%,37.8%,15.5%
SYMSTYLES,symbolCircle,symbolTriangle,symbolSquare
YMAX,60,,
