,Scotland,East Renfrewshire,"Edinburgh, City of",Glasgow City
2003Q2,101.41,157.06,161.34,108.51
2004Q2,123.30,183.19,194.60,131.12
2005Q2,131.29,182.50,196.25,140.97
2006Q2,148.60,202.63,210.03,148.90
2007Q2,164.73,223.70,225.58,164.73
2008Q2,166.29,242.10,229.36,156.41
2009Q2,155.96,194.64,199.63,139.74
2010Q2,150.90,197.54,205.23,135.81
2011Q2,147.89,219.53,196.42,127.10
2012Q2,140.66,186.34,197.01,120.40
2013Q2,136.94,208.15,186.24,109.96
2014Q2,145.38,212.67,190.62,118.46
2015Q2,150.77,214.31,206.88,126.54
2016Q2,149.78,223.33,204.00,126.70
2017Q2,151.46,235.63,216.23,134.75
2018Q2,152.98,229.47,224.37,137.68
2019Q2,153.50,215.00,222.50,135.12
-META-,,,,
YAXISTITLE,Median house price – real (CPI 2019 prices) / £ thousands,,,
