,Scotland,Aberdeen City,Shetland Islands,Western Isles
2003Q2,101.41,85.67,74.25,69.96
2004Q2,123.30,105.69,84.55,83.84
2005Q2,131.29,116.11,81.96,105.04
2006Q2,148.60,142.57,91.18,95.91
2007Q2,164.73,181.20,112.68,115.97
2008Q2,166.29,186.67,117.90,115.32
2009Q2,155.96,175.92,116.66,97.32
2010Q2,150.90,178.96,125.55,99.59
2011Q2,147.89,179.09,132.87,103.99
2012Q2,140.66,172.16,146.28,108.64
2013Q2,136.94,178.02,120.51,94.22
2014Q2,145.38,188.61,150.93,95.85
2015Q2,150.77,193.85,158.85,96.92
2016Q2,149.78,195.41,168.57,110.05
2017Q2,151.46,177.58,157.38,84.48
2018Q2,152.98,169.30,173.38,97.40
2019Q2,153.50,165.00,173.50,111.50
-META-,,,,
YAXISTITLE,Median house price – real (CPI 2019 prices) / £ thousands,,,
