,Nuclear,Renewables,Coal,Gas,Other
2004,18.01,5.83,13.05,10.83,2.20
2005,18.68,6.49,12.14,9.37,2.56
2006,14.14,6.96,17.55,10.21,3.38
2007,12.34,8.23,13.86,10.93,2.72
2008,15.08,9.06,11.66,11.61,2.63
2009,16.68,10.58,11.96,9.37,2.40
2010,15.29,9.50,14.26,8.38,2.10
2011,16.89,13.87,10.43,8.09,1.59
2012,17.05,14.67,11.69,5.61,1.32
2013,18.50,16.99,10.77,5.44,1.33
2014,16.63,19.05,10.16,2.72,1.48
2015,17.76,21.74,8.27,1.92,1.64
2016,19.63,19.57,1.81,3.14,1.63
2017,17.83,24.99,0.00,4.33,1.35
2018,13.61,26.47,0.00,7.26,0.89
-META-,,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
YAXISTITLE,Energy Generation / GWh,,,,
XAXISTITLE,0,,,,
LEGENDX,2007,,,,
STACKEDLEGENDRIGHT,TRUE,,,,
RIGHTPADDING,100,,,,
