Year,Hydro,Wind,Solar PV,Landfill Gas,Other
2000,1.320,0.039,0.000,0.014,0.018
2001,1.325,0.044,0.000,0.017,0.018
2002,1.304,0.186,0.000,0.026,0.022
2003,1.299,0.308,0.000,0.048,0.021
2004,1.308,0.412,0.000,0.062,0.022
2005,1.312,0.746,0.000,0.072,0.022
2006,1.331,0.946,0.000,0.078,0.023
2007,1.339,1.149,0.000,0.092,0.071
2008,1.442,1.745,0.000,0.093,0.074
2009,1.450,2.121,0.000,0.106,0.121
2010,1.457,2.676,0.002,0.109,0.125
2011,1.485,3.088,0.048,0.113,0.135
2012,1.497,3.955,0.095,0.115,0.154
2013,1.510,4.779,0.133,0.115,0.163
2014,1.528,5.277,0.175,0.116,0.244
2015,1.571,5.585,0.264,0.116,0.251
2016,1.627,6.478,0.326,0.116,0.279
2017,1.649,7.578,0.343,0.116,0.326
2018,1.649,8.562,0.344,0.116,0.367
2019,1.649,9.334,0.364,0.116,0.422
-META-,,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
YAXISTITLE,Installed capacity / GW,,,,
STACKEDLEGENDRIGHT,TRUE,,,,
RIGHTPADDING,100,,,,
