,Scotland,UK
1990,9.90,102.40
1991,9.57,95.80
1992,10.38,106.10
1993,11.12,112.30
1994,11.79,122.20
1995,12.31,129.40
1996,13.21,135.80
1997,14.39,146.70
1998,15.19,158.90
1999,15.94,168.40
2000,16.79,179.89
2001,18.08,181.23
2002,19.78,188.80
2003,21.08,200.00
2004,22.56,215.70
2005,23.80,228.22
2006,24.44,235.20
2007,25.13,240.72
2008,24.35,235.40
2009,22.50,218.10
2010,20.91,210.66
2011,22.07,219.29
2012,22.21,220.64
2013,23.25,228.38
2014,24.08,238.39
2015,25.51,251.48
2016,26.92,268.36
2017,28.83,284.57
2018,29.44,292.24
-META-,,
YAXISTITLE,Terminal passengers in Scotland / million,
USEYAXIS2,2,
YAXISTITLE2,Terminal passengers in UK / million,
