,Bus passengers,Road vehicle.km,Scotrail passengers,Ferry passengers,Road casualties
2008,100.00,100.00,100.00,100.00,100.00
2009,94.70,99.44,100.65,103.39,96.48
2010,88.95,97.79,102.43,100.20,85.54
2011,90.08,97.57,106.11,97.16,82.00
2012,86.91,97.93,108.92,98.59,81.53
2013,87.06,98.58,112.97,97.87,73.70
2014,85.65,100.83,121.26,98.55,72.49
2015,84.14,102.03,121.96,97.80,70.40
2016,81.25,104.47,123.30,103.99,69.89
2017,80.28,107.91,127.94,106.26,60.50
2018,78.52,108.25,127.93,106.61,53.94
-META-,,,,,
YAXISTITLE,Index (2008 = 100),,,,
SYMBOLS,TRUE,,,,
LEGENDX,2008,,,,
