,Decile 3,Median,Decile 7
1994-95,13468,18668,24752
1995-96,13468,18616,24908
1996-97,13884,19344,25532
1997-98,14560,20228,26780
1998-99,14924,20436,27508
1999-00,15184,21112,28080
2000-01,15808,21632,28340
2001-02,17004,22776,29848
2002-03,17160,23088,30368
2003-04,18460,24388,31460
2004-05,18512,24648,32136
2005-06,18668,24648,32136
2006-07,18824,24804,32760
2007-08,19292,25584,33540
2008-09,19448,25948,34268
2009-10,19812,26364,34580
2010-11,19812,25428,33124
2011-12,19500,25480,33020
2012-13,19032,25168,32552
2013-14,19552,25636,33436
2014-15,20020,26416,34268
2015-16,19812,25792,35048
2016-17,20436,27300,35412
2017-18,20124,26624,34632
2018-19,20540,26728,34164
-META-,,,
YAXISTITLE,"Real income after tax & benefits, before housing costs 2018-19 prices",,
SYMBOLS,TRUE,,
LEFTPADDING,50,,
#change,7072,8060,9412
#% change,52.51%,43.2%,38.0%
