,Deciles 1-3,Deciles 4-7,Deciles 8-10
1994-95,13.7,35.4,51.0
1995-96,14.1,35.0,50.8
1996-97,13.9,35.2,50.9
1997-98,13.6,34.6,51.8
1998-99,13.7,34.8,51.5
1999-00,13.3,33.8,52.9
2000-01,13.2,33.3,53.5
2001-02,14.1,34.8,51.1
2002-03,13.9,34.9,51.3
2003-04,14.1,34.9,51.0
2004-05,14.4,35.4,50.2
2005-06,14.0,34.7,51.3
2006-07,13.9,34.1,51.9
2007-08,13.5,33.8,52.7
2008-09,13.3,33.5,53.2
2009-10,13.4,33.7,52.9
2010-11,14.5,34.6,50.9
2011-12,14.4,34.4,51.3
2012-13,14.1,34.7,51.2
2013-14,14.5,35.0,50.5
2014-15,14.3,34.8,50.9
2015-16,13.4,33.0,53.5
2016-17,13.8,34.7,51.6
2017-18,13.6,34.6,51.9
2018-19,13.8,34.1,52.1
-META-,,,
YAXISTITLE,Percentage of total income,,
BARS,TRUE,,
STACKED,TRUE,,
FILLPATTERNED,2,,
