,Relative poverty,Absolute poverty
1994-95,23%,39%
1995-96,23%,40%
1996-97,25%,39%
1997-98,22%,35%
1998-99,23%,33%
1999-00,24%,32%
2000-01,24%,30%
2001-02,22%,26%
2002-03,22%,25%
2003-04,20%,22%
2004-05,19%,20%
2005-06,19%,20%
2006-07,19%,19%
2007-08,19%,18%
2008-09,19%,19%
2009-10,19%,18%
2010-11,17%,17%
2011-12,16%,17%
2012-13,19%,20%
2013-14,18%,18%
2014-15,18%,17%
2015-16,20%,18%
2016-17,19%,17%
2017-18,19%,18%
2018-19,19%,17%
-META-,,
YAXISTITLE,Percentage of population,
SYMBOLS,TRUE,
LEGENDY,7,
