Crime group,Non-sexual crimes of violence,Sexual crimes,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
2007-08,12874,6552,166718,118025,81340
2008-09,12612,6331,167812,109430,81248
2009-10,11228,6527,153256,93443,73670
2010-11,11437,6696,155870,82020,67224
2011-12,9484,7361,154337,75201,67805
2012-13,7468,7693,135899,59479,62514
2013-14,6686,8604,137324,54418,63365
2014-15,6272,9557,126857,52091,61573
2015-16,6737,10273,115789,54226,59218
2016-17,7164,11092,113205,52514,54946
2017-18,7251,12487,114474,51322,58970
2018-19,8008,13547,114506,47997,62422
2019-20,9316,13364,111409,47731,64589
-META-,,,,,
YAXISTITLE,Police recorded crimes,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
LEFTPADDING,80,,,,
RIGHTPADDING,200,,,,
STACKEDLEGENDRIGHT,TRUE,,,,
