Year,Primary,Secondary,Chimney
2004-05,15150,27547,1474
2005-06,15125,31554,1696
2006-07,14758,32397,1430
2007-08,13618,30385,1633
2008-09,13174,25651,1745
2009-10,13993,23005,1740
2010-11,13145,24217,1574
2011-12,12413,18683,1243
2012-13,11093,14273,1374
2013-14,10536,16360,1093
2014-15,10641,13406,977
2015-16,11013,14732,883
2016-17,10906,15658,739
2017-18,10686,14723,763
2018-19,10450,15635,641
-META-,,,
YAXISTITLE,Number of fire incidents,,
BARS,TRUE,,
STACKED,TRUE,,
LEFTPADDING,60,,
#Source https://www.firescotland.gov.uk/media/2186665/sfrs_incident_2018_19v2.xlsx,,,
#Sheet Incidents time series – password protected so cannot include it here,,,
