Academic Year,Enrolments,Headcount,FTE
2005-06,446619,350410,
2006-07,468155,363597,
2007-08,489610,379233,
2008-09,483472,374986,
2009-10,438522,347336,134918
2010-11,383005,305969,134547
2011-12,320646,257913,133199
2012-13,297586,238805,131421
2013-14,299828,238399,132942
2014-15,297011,226919,131619
2015-16,281051,227258,129500
2016-17,291849,235737,132493
2017-18,303115,242488,131953
2018-19,328889,264858,129821
-META-,,,
YAXISTITLE,Number of FE and HE college students,,
SYMBOLS,TRUE,,
LEGENDY,70000,,
LEFTPADDING,70,,
