,First degree,Taught postgrad,Research postgrad,HNC/HND,Other
2006-07,133740,43035,9360,39265,54160
2007-08,132260,42265,9615,38755,49730
2008-09,137720,42760,9935,39105,50095
2009-10,146175,44285,10665,41230,45205
2010-11,149715,45255,11325,42315,41390
2011-12,149350,43280,11660,41345,35990
2012-13,150935,41530,11965,39745,34565
2013-14,152460,41925,12180,41285,31640
2014-15,154420,43675,12525,40765,29905
2015-16,158495,43800,12910,41060,29185
2016-17,162130,45780,13045,42660,29005
2017-18,166040,48495,13145,41560,27455
2018-19,169635,50900,13420,40320,28390
-META-,,,,,
YAXISTITLE,Number of students at HEIs,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
LEFTPADDING,60,,,,
RIGHTPADDING,100,,,,
STACKEDLEGENDRIGHT,TRUE,,,,
