,Daycase,Elective,Emergency
2009-10,430593,197547,515558
2010-11,433514,183510,520299
2011-12,444543,177481,534943
2012-13,451398,179338,541881
2013-14,450311,184273,558058
2014-15,459849,185587,569876
2015-16,470176,175399,580652
2016-17,466288,165667,582778
2017-18,455328,150219,586880
2018-19*,466171,146125,586644
-META-,,,
YAXISTITLE,Number of inpatient stays (CIS),,
BARS,TRUE,,
STACKED,TRUE,,
LEFTPADDING,90,,
BOTTOMPADDING,50,,
XAXISTITLE,*  Provisional numbers,,
#Source,https://www.isdscotland.org/Health-Topics/Hospital-Care/Publications/2019-09-10/Inpatient-Day-Case-Activity-Health-Board-of-Residence-Sep19.xlsx,,
#Can’t copy original sheet tab as it is user selectable lookup data,,,
#Tab,Admission Type Trend CIS measure,,
#Growth,,,
RIGHTPADDING,100,,
STACKEDLEGENDRIGHT,TRUE,,
