Health Board,NHS Scotland,Target
Oct 11,89.4,90
Nov 11,89.6,90
Dec 11,92.0,90
Jan 12,91.4,90
Feb 12,91.4,90
Mar 12,91.5,90
Apr 12,92.0,90
May 12,92.4,90
Jun 12,92.4,90
Jul 12,91.7,90
Aug 12,91.4,90
Sep 12,90.8,90
Oct 12,90.8,90
Nov 12,90.4,90
Dec 12,90.9,90
Jan 13,90.5,90
Feb 13,90.4,90
Mar 13,90.6,90
Apr 13,90.0,90
May 13,90.6,90
Jun 13,91.6,90
Jul 13,91.6,90
Aug 13,91.1,90
Sep 13,90.9,90
Oct 13,90.6,90
Nov 13,90.0,90
Dec 13,90.8,90
Jan 14,89.8,90
Feb 14,89.5,90
Mar 14,89.2,90
Apr 14,89.3,90
May 14,90.1,90
Jun 14,90.4,90
Jul 14,89.9,90
Aug 14,89.5,90
Sep 14,89.4,90
Oct 14,89.1,90
Nov 14,87.7,90
Dec 14,88.6,90
Jan 15,87.4,90
Feb 15,87.3,90
Mar 15,87.8,90
Apr 15,87.6,90
May 15,88.5,90
Jun 15,88.3,90
Jul 15,88.0,90
Aug 15,87.9,90
Sep 15,87.2,90
Oct 15,86.5,90
Nov 15,86.3,90
Dec 15,87.1,90
Jan 16,86.7,90
Feb 16,86.2,90
Mar 16,86.6,90
Apr 16,86.1,90
May 16,87.2,90
Jun 16,87.0,90
Jul 16,86.6,90
Aug 16,86.0,90
Sep 16,84.7,90
Oct 16,84.2,90
Nov 16,83.7,90
Dec 16,83.8,90
Jan 17,83.2,90
Feb 17,83.0,90
Mar 17,83.2,90
Apr 17,83.5,90
May-17,84.7,90
Jun-17,84.8,90
Jul 17,83.2,90
Aug-17,82.4,90
Sep-17,81.4,90
Oct 17,81.3,90
Nov-17,81.5,90
Dec-17,82.5,90
Jan 18,81.0,90
Feb-18,81.0,90
Mar-18,81.2,90
Apr 18,80.9,90
May 18,82.6,90
Jun 18,82.8,90
Jul 18,83.0,90
Aug 18,82.5,90
Sep 18,81.2,90
Oct 18,79.0,90
Nov 18,78.6,90
Dec 18,79.5,90
Jan 19,77.9,90
Feb 19,77.9,90
Mar 19,77.3,90
Apr 19,78.5,90
May 19,79.2,90
Jun 19,79.2,90
Jul 19,79.2,90
Aug 19,77.9,90
Sep 19,76.9,90
Oct 19,77.8,90
Nov 19,77.2,90
Dec 19,78.9,90
-META-,,
YAXISTITLE,% of patients waiting 18 weeks or less for treatment,
XTICKSEVERY,4,
#Source,Hidden tab Table of https://beta.isdscotland.org/find-publications-and-data/healthcare-resources/waiting-times/nhs-waiting-times-18-weeks-referral-to-treatment/25-february-2020/,
YMIN,65,
YMAX,100,
