,Primary,Secondary,Special
1998,2291,392,185
1999,2293,389,195
2000,2278,389,195
2001,2271,387,197
2002,2258,386,191
2003,2248,386,194
2004,2217,386,192
2005,2194,385,190
2006,2184,381,190
2007,2168,378,183
2008,2153,376,193
2009,2128,374,190
2010,2099,372,163
2011,2081,367,158
2012,2064,365,155
2013,2056,364,149
2014,2048,362,145
2015,2039,361,144
2016,2031,359,141
2017,2019,360,135
2018,2012,357,114
2019,2004,358,114
-META-,,,
YAXISTITLE,Number of schools (primary),,
YAXISTITLE2,Number of schools (secondary and special),,
USEYAXIS2,2,,
USEYAXIS2,3,,
YMIN,0,,
YMAX,2500,,
YMIN2,0,,
YMAX2,500,,
NICE,FALSE,,
SYMBOLS,TRUE,,
LEGENDY,400,,
LEFTPADDING,50,,
#change,-287,-34,-71
#percent,-12.5%,-8.7%,-38.4%
