,Education,Social Work,Non-HRA Housing,Debt & interest,Other
2009-10,5.74,4.24,2.77,1.28,4.43
2010-11,5.69,4.23,2.77,1.34,4.20
2011-12,5.46,4.23,2.68,1.46,3.89
2012-13,5.40,4.28,2.63,1.45,3.72
2013-14,5.33,4.28,2.65,1.41,3.81
2014-15,5.27,4.31,2.66,1.38,3.69
2015-16,5.36,4.38,2.60,1.68,3.56
2016-17,5.37,4.47,2.52,1.28,3.44
2017-18,5.44,4.51,2.39,1.26,3.47
2018-19,5.66,4.60,2.30,1.25,3.36
-META-,,,,,
YAXISTITLE,Gross revenue expenditure by councils / £ billion (real 2019-20 prices),,,,
SYMBOLS,TRUE,,,,
LEGENDY,7,,,,
LEGENDX,2013-14,,,,
YMAX,6.5,,,,
#educ fall,-0.47144878909819,,,,
#educ fall %,-8.22%,,,,
