,Scotland,UK
1998-99,9980,9039
1999-00,10311,9316
2000-01,10708,9668
2001-02,11404,10155
2002-03,11979,10688
2003-04,12853,11405
2004-05,13278,11918
2005-06,13726,12244
2006-07,13980,12370
2007-08,14460,12692
2008-09,14804,13400
2009-10,15068,13765
2010-11,15284,13829
2011-12,15054,13559
2012-13,15058,13465
2013-14,14681,13237
2014-15,14609,13263
2015-16,14628,13185
2016-17,14683,13090
2017-18,14734,13145
2018-19,14716,13050
2019-20,14829,13196
-META-,,
YAXISTITLE,Total managed expenditure per person / £ (real 2019-20 prices),
SYMBOLS,TRUE,
LEFTPADDING,40,
