,UK crude oil production,Operating & capital expenditure
1998-99,136.7,9.4
1999-00,139.6,7.8
2000-01,123.3,7.6
2001-02,118.7,8.4
2002-03,115.9,8.5
2003-04,103.4,8.2
2004-05,92.4,8.6
2005-06,82.5,10.2
2006-07,75.0,12.0
2007-08,75.4,12.4
2008-09,71.2,13.0
2009-10,67.5,13.6
2010-11,60.8,15.3
2011-12,51.1,18.8
2012-13,43.9,22.0
2013-14,42.3,25.1
2014-15,40.6,24.4
2015-16,48.5,19.7
2016-17,47.5,14.9
2017-18,47.6,12.8
2018-19,53.2,13.0
-META-,,
YAXISTITLE,Production / million tonnes,
YAXISTITLE2,Expenditure / £ billion (nominal),
USEYAXIS2,2,
SYMBOLS,TRUE,
LEGENDY,35,
LEGENDX,2005-06,
