,Scotland,Scotland excluding North Sea,UK,UK excluding North Sea
1998-99,9285,8838,9066,9019
1999-00,9740,9140,9605,9543
2000-01,10639,9522,10056,9938
2001-02,10690,9566,10024,9893
2002-03,10495,9382,9879,9757
2003-04,10946,10022,10440,10339
2004-05,11548,10336,10819,10682
2005-06,12794,10792,11285,11066
2006-07,12539,11015,11533,11368
2007-08,13196,11374,11769,11584
2008-09,12845,10788,11097,10889
2009-10,11810,10493,10742,10617
2010-11,12676,10936,11214,11044
2011-12,12730,11015,11336,11161
2012-13,11999,11028,11244,11138
2013-14,11963,11203,11416,11339
2014-15,11665,11458,11626,11597
2015-16,11326,11390,11837,11838
2016-17,11654,11623,12188,12188
2017-18,12001,11782,12255,12235
2018-19,12253,11997,12427,12409
2019-20,12058,11926,12367,12357
-META-,,,,
YAXISTITLE,Revenue per person / £ billion (real 2019-20) ,,,
SYMBOLS,TRUE,,,
LEFTPADDING,40,,,
YMIN,8500,,,
YMAX,13500,,,
