,Income tax,NI,VAT,Onshore corp tax
1998-99,9.84,6.84,6.73,3.42
1999-00,10.12,6.94,7.08,3.82
2000-01,10.90,7.34,7.22,3.65
2001-02,11.16,7.41,7.38,3.26
2002-03,11.21,7.28,7.18,2.93
2003-04,11.83,8.40,7.84,2.94
2004-05,12.30,8.77,7.91,3.49
2005-06,12.97,9.08,8.04,3.85
2006-07,13.78,9.31,8.62,3.66
2007-08,14.45,9.73,8.69,3.52
2008-09,13.46,9.67,7.93,2.76
2009-10,12.85,9.42,7.54,3.02
2010-11,13.22,9.33,8.74,2.98
2011-12,12.97,9.54,9.54,2.73
2012-13,12.59,9.70,9.63,2.90
2013-14,12.63,9.75,10.02,2.83
2014-15,12.97,9.92,9.97,3.38
2015-16,12.71,9.83,10.43,3.00
2016-17,12.53,10.64,10.22,3.69
2017-18,12.46,10.89,10.97,3.45
2018-19,13.08,11.12,11.35,3.55
2019-20,13.02,11.46,11.01,3.18
-META-,,,,
YAXISTITLE,Revenue / £ billion (real 2019-20 prices),,,
SYMBOLS,TRUE,,,
LEGENDY,7,,,
