,Onshore revenue,North sea revenue,Total managed expenditure
1998-99,44.86,2.27,50.66
1999-00,46.34,3.04,52.27
2000-01,48.21,5.65,54.22
2001-02,48.45,5.69,57.76
2002-03,47.54,5.64,60.70
2003-04,50.84,4.69,65.20
2004-05,52.62,6.17,67.60
2005-06,55.21,10.24,70.22
2006-07,56.64,7.84,71.89
2007-08,58.90,9.43,74.87
2008-09,56.21,10.72,77.13
2009-10,54.98,6.90,78.95
2010-11,57.65,9.18,80.57
2011-12,58.42,9.09,79.84
2012-13,58.64,5.16,80.06
2013-14,59.74,4.06,78.29
2014-15,61.35,1.11,78.21
2015-16,61.29,-0.34,78.71
2016-17,62.88,0.17,79.43
2017-18,63.96,1.19,79.98
2018-19,65.32,1.39,80.12
2019-20,65.15,0.72,81.01
-META-,,,
YAXISTITLE,£ billion (real 2019-20 prices),,
BARS,TRUE,,
STACKED,TRUE,,
SYMBOLS,FALSE,,
USELINE,3,,
YMAX,80,,
BARLINECOLOUR,#579d1c,,
