Year,Health,Local government (inc police & fire),Local government (exc police & fire),Scottish public pensions agency,Education & training,Justice (exc police & fire)
2008-09,12.69,13.52,,3.07,3.13,1.23
2009-10,12.99,14.06,,2.85,3.42,1.25
2010-11,13.09,13.70,,3.44,3.29,1.67
2011-12,13.07,13.07,,3.45,3.08,1.52
2012-13,13.10,12.69,,2.90,3.19,1.56
2013-14,13.09,13.10,11.43,2.94,3.19,1.17
2014-15,13.09,13.33,11.74,3.95,3.30,1.31
2015-16,13.48,13.39,11.79,3.72,3.36,1.12
2016-17,13.98,12.50,10.95,3.50,3.37,1.16
2017-18,13.92,12.48,10.89,4.76,3.27,1.20
2018-19,14.04,12.54,10.92,5.96,4.34,1.24
-META-,,,,,,
YAXISTITLE,Expenditure real / £ billion (2019-20 prices),,,,,
LEGENDX,2008-09,,,,,
LEGENDY,9.7,,,,,
SYMBOLS,TRUE,,,,,
