,"Computer, electronic & optical","Food, beverages & tobacco",Financial services,"Professional, scientific & technical services"
2002,7.3%,6.2%,5.8%,3.1%
2003,5.6%,5.9%,6.7%,2.5%
2004,4.2%,5.5%,8.9%,2.5%
2005,2.7%,5.6%,7.2%,2.5%
2006,2.3%,5.3%,8.3%,2.5%
2007,1.9%,5.4%,9.8%,3.1%
2008,1.8%,5.4%,9.3%,3.2%
2009,1.7%,5.8%,8.6%,3.6%
2010,1.6%,6.7%,9.2%,4.4%
2011,1.6%,7.1%,7.8%,4.6%
2012,1.6%,7.1%,6.6%,5.0%
2013,1.6%,6.9%,6.3%,5.2%
2014,1.3%,6.2%,6.1%,5.2%
2015,1.3%,6.2%,6.5%,5.8%
2016,1.4%,6.1%,6.3%,5.2%
2017,1.6%,6.1%,7.4%,4.9%
2018,1.6%,6.2%,7.7%,4.4%
-META-,,,,
YAXISTITLE,Exports as % of Scotland’s onshore GDP,,,
SYMBOLS,TRUE,,,
LEGENDY,9.75,,,
LEGENDX,2012,,,
,,,,
,,,,
,, ,,
