,Services,Manufacturing,Utilities & construction,"Agriculture, forestry, fishing, mining & quarrying"
2002,22.1%,26.6%,3.5%,2.3%
2003,23.1%,23.8%,4.1%,1.8%
2004,27.3%,21.3%,4.3%,1.9%
2005,24.1%,19.4%,3.1%,2.0%
2006,25.3%,18.5%,3.3%,1.9%
2007,27.5%,19.2%,3.2%,2.2%
2008,26.7%,19.8%,3.7%,2.3%
2009,26.0%,19.7%,4.5%,3.1%
2010,27.0%,20.9%,4.1%,4.1%
2011,26.0%,21.2%,5.3%,4.2%
2012,26.2%,20.6%,5.3%,4.0%
2013,26.3%,19.9%,5.9%,3.7%
2014,26.3%,17.9%,4.6%,4.1%
2015,27.0%,18.5%,5.2%,4.2%
2016,25.7%,17.9%,4.4%,3.7%
2017,26.3%,18.2%,4.6%,3.4%
2018,25.5%,18.3%,4.7%,3.4%
-META-,,,,
YAXISTITLE,Exports as % of Scotland’s onshore GDP,,,
SYMBOLS,TRUE,,,
LEGENDY,12.5,,,
LEGENDX,2002,,,
