,Scotland onshore,Scotland including North Sea,UK
1999,1.22%,3.08%,3.43%
2000,3.40%,9.97%,3.44%
2001,2.19%,0.69%,2.97%
2002,2.26%,0.17%,2.32%
2003,3.31%,2.60%,3.29%
2004,2.12%,2.65%,2.37%
2005,1.82%,3.59%,3.18%
2006,3.06%,2.55%,2.79%
2007,0.44%,0.25%,2.43%
2008,0.72%,2.98%,-0.28%
2009,-2.41%,-7.61%,-4.25%
2010,0.95%,4.32%,1.95%
2011,0.74%,1.64%,1.54%
2012,0.29%,-1.93%,1.48%
2013,2.04%,0.80%,2.14%
2014,2.08%,-0.98%,2.61%
2015,0.50%,-3.02%,2.36%
2016,0.84%,0.20%,1.92%
2017,1.13%,1.15%,1.89%
2018,1.68%,4.26%,1.34%
2019,0.75%,-0.92%,1.46%
-META-,,,
YAXISTITLE,Real GDP annual growth rate %,,
SYMBOLS,TRUE,,
LEGENDX,2000,,
