,Housing,Transport,Recreation and culture,Restaurants and hotels
1998,18.9,10.2,8.7,9.4
1999,19.6,10.7,9.3,9.7
2000,20.1,11.2,9.6,9.9
2001,20.1,11.3,9.8,9.9
2002,20.8,11.4,10.3,10.1
2003,20.9,11.6,10.5,10.2
2004,21.0,11.7,11.1,10.1
2005,20.8,12.5,11.2,10.2
2006,22.8,13.0,11.9,10.4
2007,22.0,13.7,12.3,10.7
2008,22.7,13.8,12.3,10.1
2009,23.4,13.4,11.4,9.5
2010,24.4,13.7,10.7,9.6
2011,24.2,14.0,10.4,9.8
2012,23.9,14.6,10.3,10.1
2013,24.3,15.2,10.6,10.8
2014,23.8,14.7,10.3,10.2
2015,24.8,14.2,10.6,10.5
2016,24.9,14.0,11.0,10.4
2017,24.4,13.6,11.2,10.2
2018,24.2,14.2,10.8,9.7
2019,24.3,14.1,10.6,9.6
-META-,,,,
YAXISTITLE,Household expenditure / £ billion (real 2019 prices),,,
SYMBOLS,TRUE,,,
