,Household expenditure,Household median income
1998-99,100.0,100.0
1999-00,105.5,103.3
2000-01,108.2,105.9
2001-02,110.4,111.5
2002-03,113.3,113.0
2003-04,115.5,119.3
2004-05,116.7,120.6
2005-06,118.6,120.6
2006-07,124.0,121.4
2007-08,123.9,125.2
2008-09,122.1,127.0
2009-10,118.4,129.0
2010-11,120.9,124.4
2011-12,119.8,124.7
2012-13,122.3,123.2
2013-14,124.1,125.4
2014-15,123.1,129.3
2015-16,125.2,126.2
2016-17,126.0,133.6
2017-18,124.7,130.3
2018-19,125.3,130.8
2019-20,123.6,
-META-,,
YAXISTITLE,Index – 1998-99 = 100 (real terms),
SYMBOLS,TRUE,
YMIN,80,
