,Con,Lab,Lib,SNP,Other
1918,32.8%,22.9%,34.1%,0.0%,10.2%
1922,25.1%,32.2%,39.2%,0.0%,3.5%
1923,31.6%,35.9%,28.4%,0.0%,4.1%
1924,40.7%,41.1%,16.6%,0.0%,1.6%
1929,35.9%,42.3%,18.1%,0.2%,3.5%
1931,55.4%,32.6%,8.6%,1.0%,2.4%
1935,49.8%,36.8%,6.7%,1.1%,5.6%
1945,40.3%,47.9%,5.6%,1.3%,4.9%
1950,44.8%,46.2%,6.6%,0.4%,2.0%
1951,48.6%,47.9%,2.7%,0.3%,0.5%
1955,50.1%,46.7%,1.9%,0.5%,0.9%
1959,47.2%,46.7%,4.1%,0.8%,1.2%
1964,40.6%,48.7%,7.6%,2.4%,0.6%
1966,37.6%,49.9%,6.8%,5.0%,0.7%
1970,38.0%,44.5%,5.5%,11.4%,0.6%
1974 Feb,32.9%,36.6%,7.9%,21.9%,0.6%
1974 Oct,24.7%,36.3%,8.3%,30.4%,0.3%
1979,31.4%,41.5%,9.0%,17.3%,0.8%
1983,28.4%,35.1%,24.5%,11.8%,0.3%
1987,24.0%,42.4%,19.2%,14.0%,0.3%
1992,25.6%,39.0%,13.1%,21.5%,0.8%
1997,17.5%,45.6%,13.0%,22.1%,1.9%
2001,15.6%,43.3%,16.3%,20.1%,4.7%
2005,15.8%,38.9%,22.6%,17.7%,5.0%
2010,16.7%,42.0%,18.9%,19.9%,2.5%
2015,14.9%,24.3%,7.5%,50.0%,3.3%
2017,28.6%,27.1%,6.8%,36.9%,0.7%
2019,25.1%,18.6%,9.5%,45.0%,1.8%
-META-,,,,,
YAXISTITLE,Share of vote in General Elections in Scotland %,,,,
SYMBOLS,TRUE,,,,
LEGENDX,1955,,,,
LEGENDY,29,,,,
