Mid-date of NRS week,Deaths,Positivity
05-Mar-20,0,0.95%
12-Mar-20,0,5.16%
19-Mar-20,11,5.55%
26-Mar-20,62,17.89%
02-Apr-20,282,27.40%
09-Apr-20,609,24.66%
16-Apr-20,650,26.77%
23-Apr-20,661,23.44%
30-Apr-20,527,16.93%
07-May-20,415,11.24%
14-May-20,336,7.87%
21-May-20,230,4.15%
28-May-20,131,2.61%
04-Jun-20,89,1.91%
11-Jun-20,69,1.09%
18-Jun-20,49,2.61%
25-Jun-20,35,0.42%
02-Jul-20,18,0.24%
09-Jul-20,13,0.25%
16-Jul-20,6,0.39%
23-Jul-20,8,0.54%
30-Jul-20,6,0.45%
06-Aug-20,5,1.11%
13-Aug-20,3,1.15%
20-Aug-20,6,1.07%
27-Aug-20,7,0.66%
03-Sep-20,2,1.10%
10-Sep-20,5,2.29%
17-Sep-20,11,3.98%
24-Sep-20,10,8.22%
01-Oct-20,20,10.85%
08-Oct-20,25,13.78%
15-Oct-20,75,16.85%
22-Oct-20,106,18.99%
29-Oct-20,168,18.09%
05-Nov-20,207,18.10%
12-Nov-20,278,17.20%
-META-,,
XSCALETYPE,DATE,
YAXISTITLE,Deaths,
YAXISTITLE2,Percentage of people testing positive each week,
USEYAXIS2,2,
RIGHTPADDING,60,
LEFTPADDING,0,
BOTTOMPADDING,20,
XGRID,TRUE,
LEGENDY,780,
