Mid-date of NRS week,COVID-19 deaths,Excess deaths
02-Jan-20,,-115
09-Jan-20,,7.40000000000009
16-Jan-20,,-60
23-Jan-20,,-90.5999999999999
30-Jan-20,,-91.5999999999999
06-Feb-20,,-37.8
13-Feb-20,,-97.2
20-Feb-20,,-84.8
27-Feb-20,,6.20000000000005
05-Mar-20,0,-20.5999999999999
12-Mar-20,0,29
19-Mar-20,11,75.5999999999999
26-Mar-20,62,-39.2
02-Apr-20,282,645.6
09-Apr-20,609,878.2
16-Apr-20,650,848.8
23-Apr-20,662,749.2
30-Apr-20,527,599.6
07-May-20,415,400.8
14-May-20,336,357
21-May-20,230,180.6
28-May-20,131,111.2
04-Jun-20,89,37
11-Jun-20,69,34
18-Jun-20,49,45.6
25-Jun-20,35,-18
02-Jul-20,18,-35
09-Jul-20,13,-49.2
16-Jul-20,6,36.8
23-Jul-20,8,-16.4
30-Jul-20,6,48.6
06-Aug-20,5,8.39999999999998
13-Aug-20,3,-70.2000000000001
20-Aug-20,6,46.8
27-Aug-20,7,45.8
03-Sep-20,2,62
10-Sep-20,5,61
17-Sep-20,11,-54.6
24-Sep-20,10,-113.4
01-Oct-20,20,158.2
08-Oct-20,25,-7.79999999999995
15-Oct-20,76,72
22-Oct-20,106,134.6
29-Oct-20,168,182.8
05-Nov-20,207,145
12-Nov-20,279,198.8
19-Nov-20,246,229.8
26-Nov-20,252,197.6
03-Dec-20,232,143.4
-META-,,
XSCALETYPE,DATE,
YAXISTITLE,Deaths,
LEFTPADDING,0,
BOTTOMPADDING,20,
XGRID,TRUE,
LEGENDY,780,
#total difference,67,
#pre-first peak diff,-563,
#first peak diff,901,19%
#post first peak diff,-270,
#check,0,
#totals,5138,5205
#first peak,"3,915","4,816"
#march to now,631,
