Date,log Cumulative number of people with a positive test
01-Mar-20,
02-Mar-20,0.000
03-Mar-20,0.000
04-Mar-20,0.477
05-Mar-20,0.778
06-Mar-20,1.041
07-Mar-20,1.204
08-Mar-20,1.255
09-Mar-20,1.362
10-Mar-20,1.431
11-Mar-20,1.556
12-Mar-20,1.778
13-Mar-20,1.929
14-Mar-20,2.083
15-Mar-20,2.185
16-Mar-20,2.233
17-Mar-20,2.290
18-Mar-20,2.356
19-Mar-20,2.425
20-Mar-20,2.508
21-Mar-20,2.572
22-Mar-20,2.619
23-Mar-20,2.698
24-Mar-20,2.766
25-Mar-20,2.857
26-Mar-20,2.951
27-Mar-20,3.025
28-Mar-20,3.095
29-Mar-20,3.141
30-Mar-20,3.194
31-Mar-20,3.300
01-Apr-20,3.364
02-Apr-20,3.415
03-Apr-20,3.477
04-Apr-20,3.524
05-Apr-20,3.569
06-Apr-20,3.598
07-Apr-20,3.626
08-Apr-20,3.659
09-Apr-20,3.695
10-Apr-20,3.722
11-Apr-20,3.747
12-Apr-20,3.772
13-Apr-20,3.783
14-Apr-20,3.803
15-Apr-20,3.829
16-Apr-20,3.851
17-Apr-20,3.870
18-Apr-20,3.893
19-Apr-20,3.913
20-Apr-20,3.927
21-Apr-20,3.938
22-Apr-20,3.956
23-Apr-20,3.974
24-Apr-20,3.987
25-Apr-20,4.002
26-Apr-20,4.014
27-Apr-20,4.022
28-Apr-20,4.030
29-Apr-20,4.043
30-Apr-20,4.055
01-May-20,4.066
02-May-20,4.077
03-May-20,4.083
04-May-20,4.089
05-May-20,4.095
06-May-20,4.104
07-May-20,4.111
08-May-20,4.119
09-May-20,4.124
10-May-20,4.130
11-May-20,4.134
12-May-20,4.139
13-May-20,4.144
14-May-20,4.150
15-May-20,4.154
16-May-20,4.160
17-May-20,4.162
18-May-20,4.164
19-May-20,4.166
20-May-20,4.169
21-May-20,4.172
22-May-20,4.175
23-May-20,4.177
24-May-20,4.179
25-May-20,4.181
26-May-20,4.181
27-May-20,4.183
28-May-20,4.184
