Date,Number of people testing positive
01-Mar-20,0
02-Mar-20,1
03-Mar-20,0
04-Mar-20,2
05-Mar-20,3
06-Mar-20,5
07-Mar-20,5
08-Mar-20,2
09-Mar-20,5
10-Mar-20,4
11-Mar-20,9
12-Mar-20,24
13-Mar-20,25
14-Mar-20,36
15-Mar-20,32
16-Mar-20,18
17-Mar-20,24
18-Mar-20,32
19-Mar-20,39
20-Mar-20,56
21-Mar-20,51
22-Mar-20,43
23-Mar-20,83
24-Mar-20,85
25-Mar-20,135
26-Mar-20,175
27-Mar-20,165
28-Mar-20,186
29-Mar-20,139
30-Mar-20,179
31-Mar-20,430
01-Apr-20,317
02-Apr-20,292
03-Apr-20,399
04-Apr-20,344
05-Apr-20,361
06-Apr-20,255
07-Apr-20,268
08-Apr-20,336
09-Apr-20,392
10-Apr-20,318
11-Apr-20,315
12-Apr-20,322
13-Apr-20,155
14-Apr-20,291
15-Apr-20,390
16-Apr-20,354
17-Apr-20,307
18-Apr-20,411
19-Apr-20,367
20-Apr-20,263
21-Apr-20,222
22-Apr-20,366
23-Apr-20,371
24-Apr-20,288
25-Apr-20,354
26-Apr-20,273
27-Apr-20,197
28-Apr-20,200
29-Apr-20,313
30-Apr-20,319
01-May-20,301
02-May-20,273
03-May-20,170
04-May-20,169
05-May-20,171
06-May-20,272
07-May-20,215
08-May-20,225
09-May-20,156
10-May-20,181
11-May-20,141
12-May-20,136
13-May-20,166
14-May-20,188
15-May-20,143
16-May-20,187
17-May-20,90
18-May-20,57
19-May-20,61
20-May-20,96
21-May-20,105
22-May-20,113
23-May-20,72
24-May-20,60
25-May-20,55
26-May-20,29
27-May-20,55
28-May-20,48
29-May-20,39
30-May-20,55
31-May-20,18
01-Jun-20,18
02-Jun-20,53
03-Jun-20,33
04-Jun-20,49
05-Jun-20,29
06-Jun-20,21
07-Jun-20,18
08-Jun-20,18
09-Jun-20,14
10-Jun-20,12
11-Jun-20,17
12-Jun-20,27
13-Jun-20,21
14-Jun-20,25
15-Jun-20,2275
16-Jun-20,15
17-Jun-20,21
18-Jun-20,11
19-Jun-20,27
20-Jun-20,26
21-Jun-20,26
22-Jun-20,14
23-Jun-20,12
24-Jun-20,9
25-Jun-20,5
26-Jun-20,17
27-Jun-20,15
28-Jun-20,8
29-Jun-20,5
30-Jun-20,10
01-Jul-20,8
02-Jul-20,5
03-Jul-20,12
04-Jul-20,11
05-Jul-20,9
06-Jul-20,4
07-Jul-20,2
08-Jul-20,7
09-Jul-20,6
10-Jul-20,18
11-Jul-20,7
12-Jul-20,19
13-Jul-20,6
14-Jul-20,3
15-Jul-20,5
16-Jul-20,11
17-Jul-20,17
18-Jul-20,21
19-Jul-20,23
20-Jul-20,7
21-Jul-20,22
22-Jul-20,10
23-Jul-20,16
24-Jul-20,20
25-Jul-20,27
26-Jul-20,4
27-Jul-20,3
28-Jul-20,4
29-Jul-20,22
30-Jul-20,17
31-Jul-20,30
01-Aug-20,18
02-Aug-20,31
03-Aug-20,18
04-Aug-20,23
05-Aug-20,64
06-Aug-20,66
07-Aug-20,43
08-Aug-20,60
09-Aug-20,48
10-Aug-20,29
11-Aug-20,52
12-Aug-20,47
13-Aug-20,47
14-Aug-20,65
15-Aug-20,51
16-Aug-20,43
17-Aug-20,26
18-Aug-20,49
19-Aug-20,50
20-Aug-20,77
21-Aug-20,71
22-Aug-20,123
23-Aug-20,83
24-Aug-20,66
25-Aug-20,44
26-Aug-20,67
27-Aug-20,68
28-Aug-20,51
29-Aug-20,88
30-Aug-20,123
31-Aug-20,160
01-Sep-20,154
02-Sep-20,156
03-Sep-20,101
04-Sep-20,159
05-Sep-20,141
06-Sep-20,208
07-Sep-20,146
08-Sep-20,176
09-Sep-20,159
10-Sep-20,161
11-Sep-20,175
12-Sep-20,221
13-Sep-20,244
14-Sep-20,70
15-Sep-20,267
16-Sep-20,267
17-Sep-20,290
18-Sep-20,203
19-Sep-20,350
20-Sep-20,245
21-Sep-20,255
22-Sep-20,383
23-Sep-20,486
24-Sep-20,465
25-Sep-20,558
26-Sep-20,714
27-Sep-20,344
28-Sep-20,222
29-Sep-20,806
30-Sep-20,640
01-Oct-20,668
02-Oct-20,775
03-Oct-20,764
04-Oct-20,758
05-Oct-20,697
06-Oct-20,800
07-Oct-20,1054
08-Oct-20,1027
09-Oct-20,1246
10-Oct-20,1009
11-Oct-20,956
12-Oct-20,961
13-Oct-20,1297
14-Oct-20,1429
15-Oct-20,1351
16-Oct-20,1196
17-Oct-20,1167
18-Oct-20,316
19-Oct-20,993
20-Oct-20,1456
21-Oct-20,1739
22-Oct-20,1712
23-Oct-20,1401
24-Oct-20,1433
25-Oct-20,1303
26-Oct-20,1122
27-Oct-20,1327
28-Oct-20,1202
29-Oct-20,1128
30-Oct-20,1281
31-Oct-20,1101
01-Nov-20,1148
02-Nov-20,951
03-Nov-20,999
04-Nov-20,1433
05-Nov-20,1216
06-Nov-20,1072
07-Nov-20,1596
08-Nov-20,1115
09-Nov-20,912
10-Nov-20,832
11-Nov-20,1261
12-Nov-20,1212
13-Nov-20,1357
14-Nov-20,1118
15-Nov-20,1159
16-Nov-20,717
17-Nov-20,1248
18-Nov-20,1264
19-Nov-20,1089
20-Nov-20,1018
21-Nov-20,887
22-Nov-20,844
23-Nov-20,949
24-Nov-20,771
25-Nov-20,880
26-Nov-20,1225
27-Nov-20,969
28-Nov-20,788
29-Nov-20,746
30-Nov-20,368
01-Dec-20,754
02-Dec-20,951
03-Dec-20,958
04-Dec-20,966
05-Dec-20,777
06-Dec-20,643
07-Dec-20,677
08-Dec-20,692
09-Dec-20,897
-META-,
XSCALETYPE,DATE
XAXISTITLE,Date
YAXISTITLE,Number of people testing positive
LEFTPADDING,60
LEGEND,FALSE
BOTTOMPADDING,20
XGRID,TRUE
