Date,Reporting date,Specimen date
01-Mar-20,0,2
02-Mar-20,1,1
03-Mar-20,0,3
04-Mar-20,2,6
05-Mar-20,3,2
06-Mar-20,5,6
07-Mar-20,5,6
08-Mar-20,2,3
09-Mar-20,5,16
10-Mar-20,4,21
11-Mar-20,9,26
12-Mar-20,24,38
13-Mar-20,25,48
14-Mar-20,36,19
15-Mar-20,32,12
16-Mar-20,18,21
17-Mar-20,24,43
18-Mar-20,32,41
19-Mar-20,39,49
20-Mar-20,56,83
21-Mar-20,51,66
22-Mar-20,43,75
23-Mar-20,83,138
24-Mar-20,85,167
25-Mar-20,135,187
26-Mar-20,175,223
27-Mar-20,165,274
28-Mar-20,186,205
29-Mar-20,139,197
30-Mar-20,179,321
31-Mar-20,430,340
01-Apr-20,317,384
02-Apr-20,292,355
03-Apr-20,399,379
04-Apr-20,344,259
05-Apr-20,361,225
06-Apr-20,255,404
07-Apr-20,268,351
08-Apr-20,336,343
09-Apr-20,392,304
10-Apr-20,318,329
11-Apr-20,315,185
12-Apr-20,322,220
13-Apr-20,155,359
14-Apr-20,291,346
15-Apr-20,390,331
16-Apr-20,354,427
17-Apr-20,307,394
18-Apr-20,411,264
19-Apr-20,367,159
20-Apr-20,263,776
21-Apr-20,222,399
22-Apr-20,366,340
23-Apr-20,371,314
24-Apr-20,288,305
25-Apr-20,354,184
26-Apr-20,273,172
27-Apr-20,197,430
28-Apr-20,200,380
29-Apr-20,313,430
30-Apr-20,319,335
01-May-20,301,368
02-May-20,273,217
03-May-20,170,189
04-May-20,169,330
05-May-20,171,289
06-May-20,272,306
07-May-20,215,290
08-May-20,225,254
09-May-20,156,177
10-May-20,181,150
11-May-20,141,261
12-May-20,136,231
13-May-20,166,198
14-May-20,188,212
15-May-20,143,152
16-May-20,187,103
17-May-20,90,92
18-May-20,57,140
19-May-20,61,182
20-May-20,96,121
21-May-20,105,111
22-May-20,113,92
23-May-20,72,50
24-May-20,60,54
25-May-20,55,97
26-May-20,29,77
27-May-20,55,66
28-May-20,48,55
29-May-20,39,29
30-May-20,55,40
31-May-20,18,23
01-Jun-20,18,38
02-Jun-20,53,45
03-Jun-20,33,35
04-Jun-20,49,35
05-Jun-20,29,24
06-Jun-20,21,22
07-Jun-20,18,17
08-Jun-20,18,18
09-Jun-20,14,27
10-Jun-20,12,29
11-Jun-20,17,21
12-Jun-20,27,30
13-Jun-20,21,23
14-Jun-20,25,13
15-Jun-20,2275,21
16-Jun-20,15,17
17-Jun-20,21,33
18-Jun-20,11,14
