Date of middle of summed over week,People tested positive,People tested
04-Mar-20,16,1680
11-Mar-20,105,2035
18-Mar-20,252,4544
25-Mar-20,872,4874
01-Apr-20,2100,7665
08-Apr-20,2245,9105
15-Apr-20,2230,8330
22-Apr-20,2231,9516
29-Apr-20,1876,11084
06-May-20,1378,12259
13-May-20,1142,14512
20-May-20,594,14328
27-May-20,341,13052
03-Jun-20,221,11559
10-Jun-20,127,11603
17-Jun-20,2400,91937
24-Jun-20,98,23140
01-Jul-20,59,24528
08-Jul-20,53,21551
15-Jul-20,82,21059
22-Jul-20,125,23190
29-Jul-20,98,21688
05-Aug-20,305,27536
12-Aug-20,339,29547
19-Aug-20,439,40845
26-Aug-20,467,70968
02-Sep-20,994,89983
09-Sep-20,1246,54359
16-Sep-20,1691,42477
23-Sep-20,3106,37796
30-Sep-20,4219,38879
07-Oct-20,6591,47820
14-Oct-20,8357,49592
21-Oct-20,9050,47656
28-Oct-20,8464,46792
04-Nov-20,8415,46492
11-Nov-20,7807,45391
-META-,,
XSCALETYPE,DATE,
YAXISTITLE,Weekly total of people testing positive,
YAXISTITLE2,Weekly total of people tested,
USEYAXIS2,2,
LEFTPADDING,60,
RIGHTPADDING,60,
LEGEND,FALSE,
BOTTOMPADDING,20,
#checks,0,0
XGRID,TRUE,
